Board,In Play
042ca491-72c9-5f05-bfda-51ee1796c1d2,FALSE
05271d76-2b94-5503-95a9-1f3f7683ece6,FALSE
06221cbd-1250-52c4-8acd-7e91dfed2fb7,FALSE
066da8cc-b16f-5275-8c23-dfbde27745a2,TRUE
08aa3f15-ce24-5031-a3cf-095e3eca83ed,FALSE
0bccfdf2-bdb2-5085-a490-083786cde789,FALSE
10a93e24-87d0-5ba4-bdde-e6a9f971437f,FALSE
158299e3-ea1a-5525-a2f9-95e8c5db3735,FALSE
18ddc55d-5354-5370-a29e-6aa9cf720dd5,FALSE
1b7fddbe-6c02-592c-9f6f-74c45276eea9,TRUE
1e57dda3-69b3-57d6-b752-da5859b00eb4,FALSE
22397a37-c06e-52d7-aa9f-7caf2748bc64,FALSE
255dbfa7-c510-5c67-b93d-6eb50c6fc317,FALSE
266835aa-2d93-53bc-8506-bb2731e67fa9,FALSE
26ccf129-9092-52c4-b34f-acf501e0a260,FALSE
2822dbe1-1f56-5b43-80db-180a06969ff5,FALSE
2b5e18ed-9948-5e24-b7c0-addc49afe6b6,FALSE
310a2673-1b99-5641-add4-d3e602a5e3d4,FALSE
3583fd01-1932-5cb1-9d81-8e7879e08dd4,FALSE
35db769e-91dd-5e44-8061-94f1ae73e74e,TRUE
3846bd4a-32d5-5e40-93cc-4bc79d7659d7,FALSE
3ab283ac-1dcb-53c8-a50b-d2a8f4c75afb,FALSE
3baa0a76-c134-5a0a-99f0-de47f839fa26,TRUE
3d2e0975-d5fc-5a7b-9765-b1646abea5fc,FALSE
420701d1-fef7-5604-8304-fda8ab604600,FALSE
4a3f35b8-d101-53f5-a103-8f70368f1fb1,TRUE
4d053618-0c8f-53f7-b0cb-1d26cbe42525,FALSE
50d60435-9215-5386-90ec-c85fe717b45e,FALSE
52e70f7d-11b3-5f74-984c-809c22dda54e,FALSE
5861037c-ca6d-5b9a-aed3-5f43c7ecbf51,FALSE
59735590-995c-5e96-8f2a-190820afd3ef,FALSE
5cfb2cd8-731b-5025-9a10-4ee3a440deac,FALSE
651e5006-459a-53e0-b63e-0d6d555a88e7,FALSE
6b5f33cf-849f-55da-91d5-9a88269bcbbf,FALSE
6c2dab2c-8f61-50bf-a263-097b38966593,FALSE
6e4dbb8e-8adf-5a96-a7e5-ff22dd17d3a6,TRUE
6f1f9855-cd3c-5d78-8c4c-e0968e4ee677,FALSE
70b47546-10d6-50e1-8b17-291c8148b003,TRUE
71b694db-5bc2-57cc-9303-50588520c978,TRUE
75bf6925-0a38-5a13-b55a-61def286b367,FALSE
772fde62-3345-5000-8b09-67f4fe598e3e,FALSE
7ab83093-5d2c-5832-8811-ea79ec7eab9b,TRUE
802cff82-ea39-5e7b-ba5c-8087d6af020a,FALSE
81133e26-fa7a-598a-a4b5-a4e3dcc1c796,FALSE
81692acc-585f-5368-b6bc-b4ae710e0a62,TRUE
833817c0-320e-5a08-b70d-55dd9d642ff5,FALSE
845a4275-c190-5fa4-a1f8-785b5866bfe7,FALSE
87185098-ac7c-54b2-a268-3fc39fd28ff6,FALSE
8ca9f2cb-f2b7-5992-b7c8-de965328e7ff,FALSE
912874ee-a2aa-5252-bfb7-ce023457eaae,FALSE
923e766f-f497-5d13-8be2-e3aaa8b3f6f4,TRUE
94950e41-0efe-5010-bff7-f32f55a7b927,FALSE
949d59d0-e6c8-58ef-ba06-e357a27d1296,FALSE
997aad66-2cb5-5f21-acd2-f90a7479f3ee,FALSE
9ccaa8a4-cd40-5a17-9909-16fd30f53257,FALSE
9f414b32-5308-5edf-84b1-5c1658c21f40,FALSE
a2496b60-6dbc-51ba-9fdd-27fb4b972d08,TRUE
a274ebea-0024-5930-8910-9049f672973f,FALSE
a43d8f18-831c-55d2-8f4e-8ab8406f2e76,FALSE
a5183f85-c66c-583d-9c67-1e89e4bb7650,FALSE
a548b951-1cb9-5be3-8f29-99ecdf0781e2,FALSE
b23d3f73-264b-5275-aa69-c6393c29a30f,FALSE
b34e0b70-b4e9-5748-9cf3-955db87c7306,TRUE
b4b24e6b-5a21-5e68-a785-94a26445cf37,FALSE
b5ec0ce2-8bff-5d75-99e9-b50e2ade9cc4,TRUE
b6ac37db-ff06-5d48-87b8-116383b29691,TRUE
bbf54654-1e20-5921-b45e-d5971d009509,FALSE
bf3e570e-fbe6-5b72-9c6b-1691744c3b11,TRUE
c25267a8-00f7-51b8-9111-0b72dafc6e3f,TRUE
c4bd5950-e14f-594d-8389-79850760681c,FALSE
c67e15c7-2f87-554c-8b99-86bb22545e73,FALSE
c71af337-02be-5e6f-9146-f0acf4ab574f,FALSE
c8c40fcf-b753-5f38-938d-0f23d56bc321,FALSE
cb5ac485-33fe-5505-9dc2-3721da4fdc37,FALSE
cb94ed43-3ee6-5abd-811f-277be20bd61a,FALSE
cc4fe78e-2b03-5f16-bdd1-4e0c4f9d7b30,FALSE
cc6d3b8c-fa0e-55d4-a126-c53074a51da1,FALSE
ce2dea74-b6ad-5382-a3e5-8462dff303da,FALSE
cf3d40b7-4322-54b2-8c8d-d29ace619119,FALSE
d13d0dfc-a01f-5e7c-bd50-e319a8bf9d18,FALSE
d18d4a9d-a7ec-599d-b866-33c35d2f571c,TRUE
d2aac65b-414c-5d46-912e-05cf709c8510,TRUE
d2d30947-9c40-53de-b428-42d44e44209a,FALSE
d7d9c9ca-c23e-5585-b109-c941e197a7f6,FALSE
d8d5d937-0633-503a-8cf9-304f8e15d91b,TRUE
d9080e28-5532-5b93-97af-f11dc82cfaf7,FALSE
d9d3a062-76b8-554a-be93-5272f037cb38,FALSE
db0fb136-95a9-58c7-9e36-0ad2861b655c,TRUE
dbd83c9e-d8ba-5b47-87f0-f3b6a63207c0,TRUE
dd2b9d17-ecb8-5215-a7f3-ab0bf391139a,FALSE
e03cde96-89d0-5883-9a88-2bffdf517f05,FALSE
e717f8a3-bb9f-5c65-adc1-2a1d89ab7fb9,FALSE
e786ee0b-f248-5d49-a722-8e1e747517a9,FALSE
f43fa7dc-9b74-5d1c-ae77-e4f356230066,TRUE
f9d83a24-dac0-5721-ac20-8c784ba2bb87,TRUE
fa657b68-6d34-5613-8813-a0c3d4336319,TRUE
fee12f70-1089-5320-894a-e3855dff76e0,TRUE
fee663ea-103f-5614-8016-730607b91268,FALSE
feec1be7-fab8-57ff-a64c-f0102a6857f8,FALSE
ff858003-fa80-55b2-858c-51dfda66dd52,FALSE
