team,fair_play_rating
Algeria,-1
Argentina,-2
Australia,-4
Austria,-3
Belgium,-7
Bosnia and Herzegovina,-9
Brazil,-5
Canada,-5
Cape Verde,-3
Colombia,-3
Croatia,-1
Curaçao,0
Czech Republic,-1
Côte d'Ivoire,-8
DR Congo,-2
Ecuador,-2
Egypt,-3
England,-1
France,0
Germany,0
Ghana,-2
Haiti,-7
Iran,-2
Iraq,-2
Japan,0
Jordan,-1
Mexico,-5
Morocco,-1
Netherlands,-3
New Zealand,-2
Norway,0
Panama,-3
Paraguay,-10
Portugal,-2
Qatar,-10
Saudi Arabia,-3
Scotland,-5
Senegal,0
South Africa,-13
South Korea,-4
Spain,-1
Sweden,-3
Switzerland,-3
Tunisia,-1
Türkiye,-2
USA,-4
Uruguay,-2
Uzbekistan,-2
